"Step","effortless-fog-273 - total_reward_actor_0","effortless-fog-273 - total_reward_actor_0__MIN","effortless-fog-273 - total_reward_actor_0__MAX"
"20768","380","380","380"
"20835","670","670","670"
"20863","210","210","210"
"20900","600","600","600"
"20932","580","580","580"
"20980","800","800","800"
"20996","410","410","410"
"21028","210","210","210"
"21044","420","420","420"
"21076","440","440","440"
"21108","530","530","530"
"21158","870","870","870"
"21192","220","220","220"
"21208","210","210","210"
"21242","460","460","460"
"21272","550","550","550"
"21304","410","410","410"
"21343","380","380","380"
"21384","410","410","410"
"21407","220","220","220"
"21432","510","510","510"
"21464","440","440","440"
"21515","470","470","470"
"21548","370","370","370"
"21580","400","400","400"
"21612","610","610","610"
"21644","720","720","720"
"21676","310","310","310"
"21708","350","350","350"
"21740","550","550","550"
"21772","420","420","420"
"21788","290","290","290"
"21838","690","690","690"
"21869","210","210","210"
"21888","220","220","220"
"21920","580","580","580"
"21952","530","530","530"
"21984","300","300","300"
"22016","450","450","450"
"22048","510","510","510"
"22096","510","510","510"
"22128","470","470","470"
"22178","750","750","750"
"22228","750","750","750"
"22260","480","480","480"
"22278","510","510","510"
"22324","550","550","550"
"22340","390","390","390"
"22372","350","350","350"
"22395","340","340","340"
"22420","380","380","380"
"22468","480","480","480"
"22518","430","430","430"
"22552","610","610","610"
"22584","260","260","260"
"22600","670","670","670"
"22632","200","200","200"
"22664","370","370","370"
"22696","340","340","340"
"22712","240","240","240"
"22760","600","600","600"
"22792","380","380","380"
"22824","500","500","500"
"22856","380","380","380"
"22889","680","680","680"
"22937","390","390","390"
"22953","190","190","190"
"22985","390","390","390"
"23017","370","370","370"
"23081","830","830","830"
"23113","340","340","340"
"23145","210","210","210"
"23177","390","390","390"
"23254","610","610","610"
"23289","390","390","390"
"23334","720","720","720"
"23368","300","300","300"
"23419","660","660","660"
"23436","360","360","360"
"23470","530","530","530"
"23504","340","340","340"
"23521","370","370","370"
"23558","260","260","260"
"23604","310","310","310"
"23636","330","330","330"
"23668","620","620","620"
"23700","270","270","270"
"23732","470","470","470"
"23764","420","420","420"
"23812","350","350","350"
"23844","520","520","520"
"23892","430","430","430"
"23929","220","220","220"
"23963","310","310","310"
"23997","410","410","410"
"24048","700","700","700"
"24082","300","300","300"
"24116","390","390","390"
"24150","320","320","320"
"24184","630","630","630"
"24218","660","660","660"
"24235","210","210","210"
"24284","510","510","510"
"24300","220","220","220"
"24332","450","450","450"
"24364","620","620","620"
"24396","480","480","480"
"24428","310","310","310"
"24460","740","740","740"
"24492","170","170","170"
"24524","430","430","430"
"24575","350","350","350"
"24608","530","530","530"
"24640","460","460","460"
"24688","330","330","330"
"24718","460","460","460"
"24736","500","500","500"
"24768","210","210","210"
"24800","280","280","280"
"24832","370","370","370"
"24848","370","370","370"
"24880","440","440","440"
"24906","240","240","240"
"24966","460","460","460"
"25000","480","480","480"
"25034","300","300","300"
"25068","580","580","580"
"25088","210","210","210"
"25136","360","360","360"
"25170","520","520","520"
"25204","220","220","220"
"25221","510","510","510"
"25263","550","550","550"
"25304","420","420","420"
"25336","600","600","600"
"25368","480","480","480"
"25400","540","540","540"
"25432","450","450","450"
"25464","220","220","220"
"25496","320","320","320"
"25528","530","530","530"
"25560","280","280","280"
"25612","370","370","370"
"25644","380","380","380"
"25660","400","400","400"
"25692","370","370","370"
"25740","360","360","360"
"25756","160","160","160"
"25788","360","360","360"
"25820","620","620","620"
"25852","500","500","500"
"25884","460","460","460"
"25946","580","580","580"
"25968","630","630","630"
"26016","590","590","590"
"26032","420","420","420"
"26064","300","300","300"
"26096","260","260","260"
"26141","450","450","450"
"26168","340","340","340"
"26199","410","410","410"
"26224","210","210","210"
"26256","510","510","510"
"26289","380","380","380"
"26305","340","340","340"
"26341","380","380","380"
"26383","360","360","360"
"26417","470","470","470"
"26449","560","560","560"
"26481","640","640","640"
"26513","480","480","480"
"26529","210","210","210"
"26561","510","510","510"
"26594","640","640","640"
"26642","530","530","530"
"26658","370","370","370"
"26706","520","520","520"
"26738","550","550","550"
"26770","380","380","380"
"26802","650","650","650"
"26834","440","440","440"
"26866","560","560","560"
"26955","390","390","390"
"26988","360","360","360"
"27004","320","320","320"
"27036","670","670","670"
"27068","330","330","330"
"27100","630","630","630"
"27148","480","480","480"
"27191","780","780","780"
"27228","520","520","520"
"27278","790","790","790"
"27328","620","620","620"
"27360","430","430","430"
"27392","590","590","590"
"27424","570","570","570"
"27448","240","240","240"
"27477","620","620","620"
"27504","400","400","400"
"27536","310","310","310"
"27584","440","440","440"
"27618","530","530","530"
"27668","520","520","520"
"27700","320","320","320"
"27716","400","400","400"
"27748","220","220","220"
"27780","210","210","210"
"27812","550","550","550"
"27844","220","220","220"
"27873","710","710","710"
"27892","250","250","250"
"27941","440","440","440"
"27975","610","610","610"
"28008","340","340","340"
"28040","440","440","440"
"28072","600","600","600"
"28104","680","680","680"
"28138","750","750","750"
"28172","420","420","420"
"28216","450","450","450"
"28248","380","380","380"
"28280","180","180","180"
"28312","450","450","450"
"28349","420","420","420"
"28383","360","360","360"
"28400","130","130","130"
"28434","270","270","270"
"28468","240","240","240"
"28502","520","520","520"
"28536","530","530","530"
"28570","200","200","200"
"28604","420","420","420"
"28621","210","210","210"
"28655","460","460","460"
"28688","500","500","500"
"28720","380","380","380"
"28752","350","350","350"
"28784","570","570","570"
"28816","510","510","510"
"28848","220","220","220"
"28880","690","690","690"
"28912","230","230","230"
"28928","260","260","260"
"28960","360","360","360"
"29012","540","540","540"
"29044","340","340","340"
"29076","500","500","500"
"29092","340","340","340"
"29124","530","530","530"
"29156","330","330","330"
"29188","380","380","380"
"29220","400","400","400"
"29236","440","440","440"
"29268","420","420","420"
"29318","480","480","480"
"29352","450","450","450"
"29368","280","280","280"
"29400","300","300","300"
"29432","420","420","420"
"29464","390","390","390"
"29496","310","310","310"
"29528","470","470","470"
"29576","720","720","720"
"29592","250","250","250"
"29624","600","600","600"
"29656","460","460","460"
"29689","490","490","490"
"29721","380","380","380"
"29753","740","740","740"
"29799","720","720","720"
"29817","420","420","420"
"29849","320","320","320"
"29881","640","640","640"
"29913","350","350","350"
"29981","470","470","470"
"30015","400","400","400"
"30048","680","680","680"
"30080","240","240","240"
"30112","500","500","500"
"30144","320","320","320"
"30176","460","460","460"
"30192","400","400","400"
"30224","460","460","460"
"30240","200","200","200"
"30272","310","310","310"
"30304","600","600","600"
"30355","320","320","320"
"30388","300","300","300"
"30420","550","550","550"
"30452","480","480","480"
"30484","360","360","360"
"30516","490","490","490"
"30548","510","510","510"
"30580","600","600","600"
"30596","210","210","210"
"30628","670","670","670"
"30695","500","500","500"
"30744","440","440","440"
"30776","650","650","650"
"30808","240","240","240"
"30840","210","210","210"
"30856","260","260","260"
"30888","490","490","490"
"30904","630","630","630"
"30936","460","460","460"
"30968","540","540","540"
"31000","330","330","330"
"31033","420","420","420"
"31049","540","540","540"
"31097","590","590","590"
"31113","180","180","180"
"31145","310","310","310"
"31177","370","370","370"
"31193","190","190","190"
"31241","440","440","440"
"31268","330","330","330"
"31289","240","240","240"
"31321","480","480","480"
"31353","470","470","470"
"31432","620","620","620"
"31477","510","510","510"
"31497","330","330","330"
"31545","470","470","470"
"31577","380","380","380"
"31613","240","240","240"
"31647","530","530","530"
"31693","540","540","540"
"31727","380","380","380"
"31748","230","230","230"
"31794","480","480","480"
"31828","250","250","250"
"31860","380","380","380"
"31892","430","430","430"
"31924","420","420","420"
"31956","240","240","240"
"31972","200","200","200"
"32004","230","230","230"
"32036","340","340","340"
"32089","480","480","480"
"32123","350","350","350"
"32157","440","440","440"
"32186","430","430","430"
"32208","330","330","330"
"32233","210","210","210"
"32259","320","320","320"
"32293","240","240","240"
"32325","310","310","310"
"32361","440","440","440"
"32378","330","330","330"
"32412","210","210","210"
"32444","380","380","380"
"32476","530","530","530"
"32492","450","450","450"
"32540","420","420","420"
"32556","230","230","230"
"32588","600","600","600"
"32620","300","300","300"
"32636","410","410","410"
"32668","740","740","740"
"32735","450","450","450"
"32752","200","200","200"
"32784","470","470","470"
"32816","360","360","360"
"32832","280","280","280"
"32864","220","220","220"
"32912","430","430","430"
"32944","450","450","450"
"32976","330","330","330"
"33008","340","340","340"
"33040","380","380","380"
"33073","370","370","370"
"33105","570","570","570"
"33137","640","640","640"
"33185","310","310","310"
"33217","700","700","700"
"33233","400","400","400"
"33265","450","450","450"
"33313","570","570","570"
"33345","650","650","650"
"33398","260","260","260"
"33448","360","360","360"
"33464","210","210","210"
"33512","390","390","390"
"33528","270","270","270"
"33560","790","790","790"
"33592","300","300","300"
"33624","340","340","340"
"33640","550","550","550"
"33672","410","410","410"
"33720","580","580","580"
"33764","340","340","340"
"33804","710","710","710"
"33852","730","730","730"
"33884","450","450","450"
"33916","420","420","420"
"33932","540","540","540"
"33964","200","200","200"
"33996","470","470","470"
"34028","380","380","380"
"34060","550","550","550"
"34112","540","540","540"
"34144","550","550","550"
"34176","460","460","460"
"34208","380","380","380"
"34224","240","240","240"
"34256","370","370","370"
"34304","310","310","310"
"34336","590","590","590"
"34368","230","230","230"
"34384","390","390","390"
"34416","520","520","520"
"34465","540","540","540"
"34497","270","270","270"
"34517","390","390","390"
"34561","540","540","540"
"34593","370","370","370"
"34625","340","340","340"
"34657","690","690","690"
"34689","560","560","560"
"34721","270","270","270"
"34753","360","360","360"
"34826","330","330","330"
"34860","320","320","320"
"34894","390","390","390"
"34928","430","430","430"
"34945","520","520","520"
"34979","350","350","350"
"35030","410","410","410"
"35064","670","670","670"
"35115","470","470","470"
"35148","330","330","330"
"35180","460","460","460"
"35212","530","530","530"
"35245","560","560","560"
"35281","430","430","430"
"35308","440","440","440"
"35356","630","630","630"
"35388","380","380","380"
"35412","590","590","590"
"35453","440","440","440"
"35485","430","430","430"
"35501","210","210","210"
"35533","390","390","390"
"35573","640","640","640"
"35597","240","240","240"
"35629","260","260","260"
"35661","780","780","780"
